# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
1375415	-	BLOW	-	(Of the wind or a current of air) To move.	Verb	10.38
357132	-	BLUE	-	Having the pure color of a clear sky; the primary color between green and violet in the visible spectrum, an effect of light with a wavelength between 450 and 500 nm.	Adjective	15.67
1511061	-	BLUNT	-	Having a thick edge or point, as an instrument; not sharp.	Adjective	15.79
5868	-	BOAR	MALE PIG	An adult male pig.		Noun	3.32;3.99926
5479	357168;357171	BOARD	-	A piece of wood or similar material that has been sawn into a regular shape, usually in preparation for using it in some sort of construction.	Noun	7.57
1176597	-	BOAST	-	To show off.	Verb	18.45
7774	-	BOAT	-	A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.	Noun	10.83
6179	-	BODY	-	The physical structure of a human or animal.	Noun	4.11
1399403	-	BODY HAIR	-	The terminal hair that develops on the human body during and after puberty.	Noun	4.144
1510400	-	BODY LOUSE	-	A parasitic insect that infests the body and clothes of humans and feeds on blood.	Noun	3.8112
347037	-	BOIL	-	A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.	Noun	4.856
347033	-	BOIL	-	To be at a temperature (as a liquid) where it moves into the gaseous phase.	Verb	5.22
963421	-	BOLT OF LIGHTNING	-	A sudden, short, temporary burst of light.	Noun	1.57
7437	-	BOMB	-	A device filled with explosives used for destroying things.	Noun	23.575
5983	-	BONE	-	Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.	Noun	4.16
417	-	BOOK	-	A collection of leaves of paper, parchment or other material, usually bound or fastened together within covers, containing writing of any type or blank pages for future inscription.	Noun	18.61
1285089	-	BOOMERANG	-	A tool with a curved shape used as a weapon or for sport which returns when thrown into the air.	Noun	9.87
159566	-	BOOT	-	A shoe that covers part of the leg.	Noun	6.52
437280	-	BOOTY	-	Profits from burglary, looting and raids.	Noun	20.48
625688	-	BORE	-	To create a hole by removing material with a drill.	Verb	9.46
7569	-	BORROW	-	To receive (something) from somebody temporarily, expecting to return it.	Verb	11.62
5783	-	BOTTLE	-	A container, typically made of glass and having a tapered neck, used for holding liquids.	Noun	23.56
334481	366521	BOTTOM	-	The part furthest in the direction toward which an unsupported object would fall.	Noun	12.34
432931	-	BOUNDARY	-	The dividing line or location between two areas.	Noun	19.17
427040	-	BOW	-	A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows.	Noun	20.24
6341	-	BOWL	-	A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items.	Noun	5.33
